id,graduation_year,major,skills,is_mentor,bio,interests,degree,is_alumni
11,2025,Mathematics,"Python, numerical methods, LaTeX, R programming, statistical analysis",True,"A Mathematics student pursuing a MBA degree, expected graduation in 2025. Passionate about statistical modeling, numerical analysis, mathematical proofs, game theory. Skilled in Python, numerical methods, LaTeX, R programming, statistical analysis. Offers mentorship and engage in innovative projects in mathematical.","statistical modeling, numerical analysis, mathematical proofs, game theory",MBA,False
12,1982,Chemistry,"chemical analysis, physics simulations, lab techniques, spectroscopy, computational modeling, MATLAB",False,"A Chemistry alumna with a M.Eng. degree, graduated in 1982. Passionate about materials science, chemical kinetics, astrophysics, organic synthesis, quantum mechanics. Skilled in chemical analysis, physics simulations, lab techniques, spectroscopy, computational modeling, MATLAB. Eager to engage in innovative projects in physical.","materials science, chemical kinetics, astrophysics, organic synthesis, quantum mechanics",M.Eng.,True
13,2021,Business Administration,"CRM software, SQL, SEO, presentation skills, market analytics, Excel",False,"A Business Administration alumna with a MBA degree, graduated in 2021. Passionate about consumer behavior, startup incubation, digital marketing, entrepreneurship. Skilled in CRM software, SQL, SEO, presentation skills, market analytics, Excel. Eager to engage in innovative projects in management.","consumer behavior, startup incubation, digital marketing, entrepreneurship",MBA,True
14,2024,Economics,"econometrics, data analysis, R programming, statistical modeling, policy analysis",False,"A Economics student pursuing a B.Sc. degree, expected graduation in 2024. Passionate about labor economics, behavioral economics, public policy, game theory, economic forecasting. Skilled in econometrics, data analysis, R programming, statistical modeling, policy analysis. Eager to engage in innovative projects in economic.","labor economics, behavioral economics, public policy, game theory, economic forecasting",B.Sc.,False
15,2024,Marketing,"SQL, CRM software, Excel, market analytics, presentation skills, SEO",False,"A Marketing student pursuing a Ph.D. degree, expected graduation in 2024. Passionate about market research, consumer behavior, entrepreneurship, startup incubation. Skilled in SQL, CRM software, Excel, market analytics, presentation skills, SEO. Eager to engage in innovative projects in management.","market research, consumer behavior, entrepreneurship, startup incubation",Ph.D.,False
16,2025,Data Science,"C++, algorithms, data structures, AWS, Node.js, Docker",False,"A Data Science student pursuing a M.Tech. degree, expected graduation in 2025. Passionate about AI, blockchain, big data, deep learning. Skilled in C++, algorithms, data structures, AWS, Node.js, Docker. Eager to engage in innovative projects in software.","AI, blockchain, big data, deep learning",M.Tech.,False
17,2025,Mathematics,"statistical analysis, Python, numerical methods, LaTeX, calculus, R programming",False,"A Mathematics student pursuing a M.Eng. degree, expected graduation in 2025. Passionate about numerical analysis, mathematical proofs, statistical modeling. Skilled in statistical analysis, Python, numerical methods, LaTeX, calculus, R programming. Eager to engage in innovative projects in mathematical.","numerical analysis, mathematical proofs, statistical modeling",M.Eng.,False
18,1998,Economics,"R programming, econometrics, policy analysis, statistical modeling",False,"A Economics alumna with a B.Sc. degree, graduated in 1998. Passionate about game theory, labor economics, economic forecasting. Skilled in R programming, econometrics, policy analysis, statistical modeling. Eager to engage in innovative projects in economic.","game theory, labor economics, economic forecasting",B.Sc.,True
19,1997,Aerospace Engineering,"project management, SolidWorks, mechanical design, MATLAB, CAD, ANSYS",True,"A Aerospace Engineering alumna with a B.A. degree, graduated in 1997. Passionate about renewable energy, aerospace propulsion, robotics, 3D printing, thermodynamics. Skilled in project management, SolidWorks, mechanical design, MATLAB, CAD, ANSYS. Offers mentorship and engage in innovative projects in mechanical.","renewable energy, aerospace propulsion, robotics, 3D printing, thermodynamics",B.A.,True
20,2024,Data Science,"Java, C++, Python, Docker, data structures",False,"A Data Science student pursuing a B.Tech. degree, expected graduation in 2024. Passionate about blockchain, cybersecurity, web development, cloud computing, DevOps. Skilled in Java, C++, Python, Docker, data structures. Eager to engage in innovative projects in software.","blockchain, cybersecurity, web development, cloud computing, DevOps",B.Tech.,False
21,2025,Mathematics,"R programming, calculus, Python, numerical methods",False,"A Mathematics student pursuing a Ph.D. degree, expected graduation in 2025. Passionate about game theory, numerical analysis, cryptography. Skilled in R programming, calculus, Python, numerical methods. Eager to engage in innovative projects in mathematical.","game theory, numerical analysis, cryptography",Ph.D.,False
22,1996,Environmental Science,"GIS, field research, remote sensing, environmental modeling",True,"A Environmental Science alumna with a M.Tech. degree, graduated in 1996. Passionate about climate change, ecology, renewable energy, conservation, sustainability. Skilled in GIS, field research, remote sensing, environmental modeling. Offers mentorship and engage in innovative projects in environmental.","climate change, ecology, renewable energy, conservation, sustainability",M.Tech.,True
23,1985,History,"historical documentation, policy analysis, survey design, archival research",False,"A History alumna with a B.A. degree, graduated in 1985. Passionate about public policy, cultural studies, historical research, archaeology, international relations. Skilled in historical documentation, policy analysis, survey design, archival research. Eager to engage in innovative projects in historical.","public policy, cultural studies, historical research, archaeology, international relations",B.A.,True
24,2023,Economics,"statistical modeling, econometrics, policy analysis, R programming",False,"A Economics student pursuing a B.Eng. degree, expected graduation in 2023. Passionate about labor economics, behavioral economics, public policy. Skilled in statistical modeling, econometrics, policy analysis, R programming. Eager to engage in innovative projects in economic.","labor economics, behavioral economics, public policy",B.Eng.,False
25,2023,Chemical Engineering,"Aspen Plus, reaction engineering, process simulation, lab safety, chemical analysis, MATLAB",True,"A Chemical Engineering student pursuing a B.Tech. degree, expected graduation in 2023. Passionate about biochemical engineering, sustainability, process engineering. Skilled in Aspen Plus, reaction engineering, process simulation, lab safety, chemical analysis, MATLAB. Offers mentorship and engage in innovative projects in chemical.","biochemical engineering, sustainability, process engineering",B.Tech.,False
26,2025,History,"archival research, historical documentation, policy analysis, survey design, qualitative research",False,"A History student pursuing a M.Sc. degree, expected graduation in 2025. Passionate about public policy, archaeology, historical research, cultural studies. Skilled in archival research, historical documentation, policy analysis, survey design, qualitative research. Eager to engage in innovative projects in historical.","public policy, archaeology, historical research, cultural studies",M.Sc.,False
27,2024,Mathematics,"calculus, LaTeX, statistical analysis, R programming, numerical methods, Python",False,"A Mathematics student pursuing a M.Tech. degree, expected graduation in 2024. Passionate about statistical modeling, mathematical proofs, cryptography, game theory, numerical analysis. Skilled in calculus, LaTeX, statistical analysis, R programming, numerical methods, Python. Eager to engage in innovative projects in mathematical.","statistical modeling, mathematical proofs, cryptography, game theory, numerical analysis",M.Tech.,False
28,2020,Mechanical Engineering,"SolidWorks, CAD, CNC machining, MATLAB, mechanical design",False,"A Mechanical Engineering alumna with a M.Eng. degree, graduated in 2020. Passionate about automotive design, thermodynamics, 3D printing, renewable energy, fluid dynamics. Skilled in SolidWorks, CAD, CNC machining, MATLAB, mechanical design. Eager to engage in innovative projects in mechanical.","automotive design, thermodynamics, 3D printing, renewable energy, fluid dynamics",M.Eng.,True
29,2023,Political Science,"qualitative research, archival research, policy analysis, survey design",False,"A Political Science student pursuing a B.A. degree, expected graduation in 2023. Passionate about cultural studies, international relations, historical research. Skilled in qualitative research, archival research, policy analysis, survey design. Eager to engage in innovative projects in historical.","cultural studies, international relations, historical research",B.A.,False
30,2024,History,"archival research, qualitative research, survey design, policy analysis, historical documentation",False,"A History student pursuing a M.Eng. degree, expected graduation in 2024. Passionate about archaeology, international relations, public policy. Skilled in archival research, qualitative research, survey design, policy analysis, historical documentation. Eager to engage in innovative projects in historical.","archaeology, international relations, public policy",M.Eng.,False
31,2018,Psychology,"clinical skills, empathy training, data visualization, SPSS, counseling",False,"A Psychology alumna with a BBA degree, graduated in 2018. Passionate about cognitive therapy, patient care, behavioral economics, neuropsychology. Skilled in clinical skills, empathy training, data visualization, SPSS, counseling. Eager to engage in innovative projects in behavioral.","cognitive therapy, patient care, behavioral economics, neuropsychology",BBA,True
32,2004,Civil Engineering,"structural analysis, project management, AutoCAD, Revit, geotechnical modeling, surveying",True,"A Civil Engineering alumna with a M.Eng. degree, graduated in 2004. Passionate about geotechnical engineering, sustainable infrastructure, water resources, urban planning, bridge design. Skilled in structural analysis, project management, AutoCAD, Revit, geotechnical modeling, surveying. Offers mentorship and engage in innovative projects in civil.","geotechnical engineering, sustainable infrastructure, water resources, urban planning, bridge design",M.Eng.,True
33,1977,Mathematics,"numerical methods, statistical analysis, R programming, calculus",False,"A Mathematics alumna with a B.Sc. degree, graduated in 1977. Passionate about cryptography, numerical analysis, statistical modeling, game theory. Skilled in numerical methods, statistical analysis, R programming, calculus. Eager to engage in innovative projects in mathematical.","cryptography, numerical analysis, statistical modeling, game theory",B.Sc.,True
34,2025,Biology,"PCR, bioinformatics, microscopy, experimental design, lab techniques, data analysis",False,"A Biology student pursuing a B.Tech. degree, expected graduation in 2025. Passionate about biotechnology, bioinformatics, conservation, molecular biology, genetics. Skilled in PCR, bioinformatics, microscopy, experimental design, lab techniques, data analysis. Eager to engage in innovative projects in biological.","biotechnology, bioinformatics, conservation, molecular biology, genetics",B.Tech.,False
35,2025,Mechanical Engineering,"project management, SolidWorks, CNC machining, ANSYS, thermodynamic modeling",False,"A Mechanical Engineering student pursuing a B.Sc. degree, expected graduation in 2025. Passionate about fluid dynamics, automotive design, 3D printing, renewable energy. Skilled in project management, SolidWorks, CNC machining, ANSYS, thermodynamic modeling. Eager to engage in innovative projects in mechanical.","fluid dynamics, automotive design, 3D printing, renewable energy",B.Sc.,False
36,1998,Computer Science,"algorithms, Java, data structures, Docker, SQL",False,"A Computer Science alumna with a M.A. degree, graduated in 1998. Passionate about data analysis, mobile app development, machine learning. Skilled in algorithms, Java, data structures, Docker, SQL. Eager to engage in innovative projects in software.","data analysis, mobile app development, machine learning",M.A.,True
37,1981,Mathematics,"numerical methods, R programming, statistical analysis, calculus, Python, LaTeX",True,"A Mathematics alumna with a Ph.D. degree, graduated in 1981. Passionate about numerical analysis, cryptography, game theory. Skilled in numerical methods, R programming, statistical analysis, calculus, Python, LaTeX. Offers mentorship and engage in innovative projects in mathematical.","numerical analysis, cryptography, game theory",Ph.D.,True
38,2025,Mechanical Engineering,"finite element analysis, thermodynamic modeling, project management, ANSYS, MATLAB, mechanical design",False,"A Mechanical Engineering student pursuing a M.A. degree, expected graduation in 2025. Passionate about fluid dynamics, renewable energy, material science, automotive design. Skilled in finite element analysis, thermodynamic modeling, project management, ANSYS, MATLAB, mechanical design. Eager to engage in innovative projects in mechanical.","fluid dynamics, renewable energy, material science, automotive design",M.A.,False
39,2024,Mathematics,"R programming, LaTeX, numerical methods, statistical analysis",False,"A Mathematics student pursuing a M.A. degree, expected graduation in 2024. Passionate about numerical analysis, cryptography, game theory, statistical modeling, mathematical proofs. Skilled in R programming, LaTeX, numerical methods, statistical analysis. Eager to engage in innovative projects in mathematical.","numerical analysis, cryptography, game theory, statistical modeling, mathematical proofs",M.A.,False
40,2011,Biology,"PCR, microscopy, lab techniques, bioinformatics",True,"A Biology alumna with a M.A. degree, graduated in 2011. Passionate about molecular biology, biotechnology, conservation, genetics. Skilled in PCR, microscopy, lab techniques, bioinformatics. Offers mentorship and engage in innovative projects in biological.","molecular biology, biotechnology, conservation, genetics",M.A.,True
41,1966,Chemistry,"computational modeling, chemical analysis, MATLAB, spectroscopy, lab techniques",False,"A Chemistry alumna with a B.Tech. degree, graduated in 1966. Passionate about materials science, thermodynamics, chemical kinetics, quantum mechanics, astrophysics. Skilled in computational modeling, chemical analysis, MATLAB, spectroscopy, lab techniques. Eager to engage in innovative projects in physical.","materials science, thermodynamics, chemical kinetics, quantum mechanics, astrophysics",B.Tech.,True
42,2024,Aerospace Engineering,"mechanical design, finite element analysis, CAD, thermodynamic modeling, project management, ANSYS",True,"A Aerospace Engineering student pursuing a Ph.D. degree, expected graduation in 2024. Passionate about robotics, 3D printing, aerospace propulsion, fluid dynamics. Skilled in mechanical design, finite element analysis, CAD, thermodynamic modeling, project management, ANSYS. Offers mentorship and engage in innovative projects in mechanical.","robotics, 3D printing, aerospace propulsion, fluid dynamics",Ph.D.,False
43,2019,History,"archival research, survey design, historical documentation, policy analysis, qualitative research",True,"A History alumna with a M.Tech. degree, graduated in 2019. Passionate about archaeology, public policy, historical research, international relations, cultural studies. Skilled in archival research, survey design, historical documentation, policy analysis, qualitative research. Offers mentorship and engage in innovative projects in historical.","archaeology, public policy, historical research, international relations, cultural studies",M.Tech.,True
44,1983,Computer Science,"React, Python, data structures, Docker, JavaScript, C++",False,"A Computer Science alumna with a MBA degree, graduated in 1983. Passionate about cybersecurity, data analysis, blockchain. Skilled in React, Python, data structures, Docker, JavaScript, C++. Eager to engage in innovative projects in software.","cybersecurity, data analysis, blockchain",MBA,True
45,2012,Business Administration,"market analytics, CRM software, Excel, SQL, SEO, presentation skills",False,"A Business Administration alumna with a B.Sc. degree, graduated in 2012. Passionate about entrepreneurship, startup incubation, brand management, market research. Skilled in market analytics, CRM software, Excel, SQL, SEO, presentation skills. Eager to engage in innovative projects in management.","entrepreneurship, startup incubation, brand management, market research",B.Sc.,True
46,2025,Mathematics,"statistical analysis, Python, LaTeX, numerical methods, calculus, R programming",False,"A Mathematics student pursuing a M.A. degree, expected graduation in 2025. Passionate about numerical analysis, cryptography, game theory, statistical modeling. Skilled in statistical analysis, Python, LaTeX, numerical methods, calculus, R programming. Eager to engage in innovative projects in mathematical.","numerical analysis, cryptography, game theory, statistical modeling",M.A.,False
47,2007,Biology,"lab techniques, bioinformatics, experimental design, microscopy, data analysis, PCR",False,"A Biology alumna with a B.Sc. degree, graduated in 2007. Passionate about conservation, microbiology, molecular biology. Skilled in lab techniques, bioinformatics, experimental design, microscopy, data analysis, PCR. Eager to engage in innovative projects in biological.","conservation, microbiology, molecular biology",B.Sc.,True
48,1995,Computer Science,"Python, Node.js, Java, algorithms, React, AWS",False,"A Computer Science alumna with a B.Eng. degree, graduated in 1995. Passionate about cloud computing, blockchain, software development, mobile app development, cybersecurity. Skilled in Python, Node.js, Java, algorithms, React, AWS. Eager to engage in innovative projects in software.","cloud computing, blockchain, software development, mobile app development, cybersecurity",B.Eng.,True
49,2024,Finance,"risk assessment, Excel, SQL, accounting, financial modeling, financial analysis",False,"A Finance student pursuing a M.Eng. degree, expected graduation in 2024. Passionate about investment strategies, blockchain, risk management. Skilled in risk assessment, Excel, SQL, accounting, financial modeling, financial analysis. Eager to engage in innovative projects in finance.","investment strategies, blockchain, risk management",M.Eng.,False
50,1981,Data Science,"SQL, JavaScript, Docker, React, C++",False,"A Data Science alumna with a M.Sc. degree, graduated in 1981. Passionate about mobile app development, cloud computing, machine learning, big data, data analysis. Skilled in SQL, JavaScript, Docker, React, C++. Eager to engage in innovative projects in software.","mobile app development, cloud computing, machine learning, big data, data analysis",M.Sc.,True
51,2013,Aerospace Engineering,"ANSYS, thermodynamic modeling, MATLAB, CNC machining, CAD, finite element analysis",False,"A Aerospace Engineering alumna with a BBA degree, graduated in 2013. Passionate about aerospace propulsion, renewable energy, automotive design, material science, robotics. Skilled in ANSYS, thermodynamic modeling, MATLAB, CNC machining, CAD, finite element analysis. Eager to engage in innovative projects in mechanical.","aerospace propulsion, renewable energy, automotive design, material science, robotics",BBA,True
52,2014,Data Science,"Python, JavaScript, AWS, data structures, algorithms",False,"A Data Science alumna with a B.Tech. degree, graduated in 2014. Passionate about big data, AI, blockchain, mobile app development, deep learning. Skilled in Python, JavaScript, AWS, data structures, algorithms. Eager to engage in innovative projects in software.","big data, AI, blockchain, mobile app development, deep learning",B.Tech.,True
53,2023,Civil Engineering,"surveying, Revit, structural analysis, AutoCAD, geotechnical modeling",False,"A Civil Engineering student pursuing a M.Tech. degree, expected graduation in 2023. Passionate about water resources, geotechnical engineering, structural analysis. Skilled in surveying, Revit, structural analysis, AutoCAD, geotechnical modeling. Eager to engage in innovative projects in civil.","water resources, geotechnical engineering, structural analysis",M.Tech.,False
54,2011,Finance,"accounting, SQL, financial modeling, financial analysis",True,"A Finance alumna with a B.Sc. degree, graduated in 2011. Passionate about risk management, financial modeling, investment strategies, corporate finance. Skilled in accounting, SQL, financial modeling, financial analysis. Offers mentorship and engage in innovative projects in finance.","risk management, financial modeling, investment strategies, corporate finance",B.Sc.,True
55,2025,Business Administration,"SQL, presentation skills, CRM software, SEO",False,"A Business Administration student pursuing a B.Eng. degree, expected graduation in 2025. Passionate about brand management, market research, startup incubation, digital marketing, entrepreneurship. Skilled in SQL, presentation skills, CRM software, SEO. Eager to engage in innovative projects in management.","brand management, market research, startup incubation, digital marketing, entrepreneurship",B.Eng.,False
56,2025,Nursing,"qualitative research, counseling, data visualization, empathy training, clinical skills, SPSS",False,"A Nursing student pursuing a M.Eng. degree, expected graduation in 2025. Passionate about behavioral economics, cognitive therapy, healthcare ethics, mental health. Skilled in qualitative research, counseling, data visualization, empathy training, clinical skills, SPSS. Eager to engage in innovative projects in behavioral.","behavioral economics, cognitive therapy, healthcare ethics, mental health",M.Eng.,False
57,2016,English Literature,"research, public speaking, editing, proofreading",False,"A English Literature alumna with a MBA degree, graduated in 2016. Passionate about poetry, publishing, novel studies, creative writing, literary analysis. Skilled in research, public speaking, editing, proofreading. Eager to engage in innovative projects in literature.","poetry, publishing, novel studies, creative writing, literary analysis",MBA,True
58,2005,Business Administration,"Excel, market analytics, CRM software, presentation skills",False,"A Business Administration alumna with a M.Sc. degree, graduated in 2005. Passionate about consumer behavior, entrepreneurship, startup incubation. Skilled in Excel, market analytics, CRM software, presentation skills. Eager to engage in innovative projects in management.","consumer behavior, entrepreneurship, startup incubation",M.Sc.,True
59,2024,Marketing,"market analytics, presentation skills, CRM software, SQL, SEO",False,"A Marketing alumna with a M.Tech. degree, graduated in 2024. Passionate about digital marketing, startup incubation, market research, consumer behavior, brand management. Skilled in market analytics, presentation skills, CRM software, SQL, SEO. Eager to engage in innovative projects in management.","digital marketing, startup incubation, market research, consumer behavior, brand management",M.Tech.,True
60,2017,Economics,"R programming, statistical modeling, policy analysis, econometrics, data analysis",False,"A Economics alumna with a B.Tech. degree, graduated in 2017. Passionate about public policy, game theory, labor economics. Skilled in R programming, statistical modeling, policy analysis, econometrics, data analysis. Eager to engage in innovative projects in economic.","public policy, game theory, labor economics",B.Tech.,True
61,2025,History,"qualitative research, policy analysis, archival research, historical documentation",False,"A History student pursuing a M.A. degree, expected graduation in 2025. Passionate about archaeology, international relations, cultural studies, public policy, historical research. Skilled in qualitative research, policy analysis, archival research, historical documentation. Eager to engage in innovative projects in historical.","archaeology, international relations, cultural studies, public policy, historical research",M.A.,False
62,2024,Economics,"econometrics, data analysis, R programming, statistical modeling",False,"A Economics student pursuing a B.Sc. degree, expected graduation in 2024. Passionate about game theory, economic forecasting, public policy, behavioral economics, labor economics. Skilled in econometrics, data analysis, R programming, statistical modeling. Eager to engage in innovative projects in economic.","game theory, economic forecasting, public policy, behavioral economics, labor economics",B.Sc.,False
63,2020,Aerospace Engineering,"finite element analysis, ANSYS, SolidWorks, CAD, MATLAB, CNC machining",False,"A Aerospace Engineering alumna with a B.Tech. degree, graduated in 2020. Passionate about robotics, fluid dynamics, 3D printing. Skilled in finite element analysis, ANSYS, SolidWorks, CAD, MATLAB, CNC machining. Eager to engage in innovative projects in mechanical.","robotics, fluid dynamics, 3D printing",B.Tech.,True
64,2025,History,"archival research, survey design, historical documentation, policy analysis",False,"A History student pursuing a BBA degree, expected graduation in 2025. Passionate about cultural studies, international relations, public policy, archaeology. Skilled in archival research, survey design, historical documentation, policy analysis. Eager to engage in innovative projects in historical.","cultural studies, international relations, public policy, archaeology",BBA,False
65,2025,Civil Engineering,"Revit, project management, structural analysis, geotechnical modeling, surveying, AutoCAD",False,"A Civil Engineering student pursuing a BBA degree, expected graduation in 2025. Passionate about structural analysis, urban planning, water resources, geotechnical engineering, sustainable infrastructure. Skilled in Revit, project management, structural analysis, geotechnical modeling, surveying, AutoCAD. Eager to engage in innovative projects in civil.","structural analysis, urban planning, water resources, geotechnical engineering, sustainable infrastructure",BBA,False
66,2025,Mathematics,"statistical analysis, LaTeX, calculus, R programming, Python",True,"A Mathematics student pursuing a B.A. degree, expected graduation in 2025. Passionate about cryptography, mathematical proofs, numerical analysis. Skilled in statistical analysis, LaTeX, calculus, R programming, Python. Offers mentorship and engage in innovative projects in mathematical.","cryptography, mathematical proofs, numerical analysis",B.A.,False
67,2025,Environmental Science,"GIS, field research, environmental modeling, data analysis, remote sensing",False,"A Environmental Science student pursuing a MBA degree, expected graduation in 2025. Passionate about sustainability, climate change, ecology. Skilled in GIS, field research, environmental modeling, data analysis, remote sensing. Eager to engage in innovative projects in environmental.","sustainability, climate change, ecology",MBA,False
68,1995,Electrical Engineering,"PCB design, circuit simulation, signal processing, power system analysis, VHDL",True,"A Electrical Engineering alumna with a Ph.D. degree, graduated in 1995. Passionate about signal processing, control systems, power systems, renewable energy, circuit design. Skilled in PCB design, circuit simulation, signal processing, power system analysis, VHDL. Offers mentorship and engage in innovative projects in electrical.","signal processing, control systems, power systems, renewable energy, circuit design",Ph.D.,True
69,2024,Finance,"financial modeling, Excel, SQL, risk assessment, accounting",False,"A Finance student pursuing a B.Sc. degree, expected graduation in 2024. Passionate about investment strategies, financial modeling, risk management, blockchain. Skilled in financial modeling, Excel, SQL, risk assessment, accounting. Eager to engage in innovative projects in finance.","investment strategies, financial modeling, risk management, blockchain",B.Sc.,False
70,1985,Computer Science,"JavaScript, React, Docker, Node.js, algorithms, AWS",False,"A Computer Science alumna with a M.Eng. degree, graduated in 1985. Passionate about blockchain, data analysis, deep learning, web development. Skilled in JavaScript, React, Docker, Node.js, algorithms, AWS. Eager to engage in innovative projects in software.","blockchain, data analysis, deep learning, web development",M.Eng.,True
71,2024,Marketing,"presentation skills, SEO, market analytics, SQL",False,"A Marketing student pursuing a B.Tech. degree, expected graduation in 2024. Passionate about entrepreneurship, market research, digital marketing, brand management. Skilled in presentation skills, SEO, market analytics, SQL. Eager to engage in innovative projects in management.","entrepreneurship, market research, digital marketing, brand management",B.Tech.,False
72,1996,Chemical Engineering,"MATLAB, Aspen Plus, reaction engineering, chemical analysis, process simulation, lab safety",False,"A Chemical Engineering alumna with a B.Tech. degree, graduated in 1996. Passionate about chemical synthesis, biochemical engineering, polymer science, sustainability, process engineering. Skilled in MATLAB, Aspen Plus, reaction engineering, chemical analysis, process simulation, lab safety. Eager to engage in innovative projects in chemical.","chemical synthesis, biochemical engineering, polymer science, sustainability, process engineering",B.Tech.,True
73,1995,Nursing,"qualitative research, empathy training, counseling, data visualization, clinical skills",True,"A Nursing alumna with a BBA degree, graduated in 1995. Passionate about healthcare ethics, mental health, neuropsychology. Skilled in qualitative research, empathy training, counseling, data visualization, clinical skills. Offers mentorship and engage in innovative projects in behavioral.","healthcare ethics, mental health, neuropsychology",BBA,True
74,1995,Electrical Engineering,"PCB design, power system analysis, MATLAB, signal processing, VHDL, circuit simulation",False,"A Electrical Engineering alumna with a B.Tech. degree, graduated in 1995. Passionate about renewable energy, microelectronics, control systems. Skilled in PCB design, power system analysis, MATLAB, signal processing, VHDL, circuit simulation. Eager to engage in innovative projects in electrical.","renewable energy, microelectronics, control systems",B.Tech.,True
75,2025,Business Administration,"SQL, CRM software, Excel, presentation skills",False,"A Business Administration student pursuing a M.Sc. degree, expected graduation in 2025. Passionate about digital marketing, market research, consumer behavior. Skilled in SQL, CRM software, Excel, presentation skills. Eager to engage in innovative projects in management.","digital marketing, market research, consumer behavior",M.Sc.,False
76,2016,English Literature,"editing, content creation, proofreading, public speaking, writing",False,"A English Literature alumna with a B.A. degree, graduated in 2016. Passionate about theater, literary analysis, poetry, publishing. Skilled in editing, content creation, proofreading, public speaking, writing. Eager to engage in innovative projects in literature.","theater, literary analysis, poetry, publishing",B.A.,True
77,2025,Marketing,"SQL, presentation skills, CRM software, Excel, market analytics, SEO",False,"A Marketing student pursuing a BBA degree, expected graduation in 2025. Passionate about consumer behavior, market research, startup incubation. Skilled in SQL, presentation skills, CRM software, Excel, market analytics, SEO. Eager to engage in innovative projects in management.","consumer behavior, market research, startup incubation",BBA,False
78,2005,Nursing,"clinical skills, counseling, empathy training, data visualization",False,"A Nursing alumna with a B.Tech. degree, graduated in 2005. Passionate about healthcare ethics, mental health, patient care, cognitive therapy, neuropsychology. Skilled in clinical skills, counseling, empathy training, data visualization. Eager to engage in innovative projects in behavioral.","healthcare ethics, mental health, patient care, cognitive therapy, neuropsychology",B.Tech.,True
79,1998,Chemical Engineering,"Aspen Plus, MATLAB, chemical analysis, process simulation, lab safety",False,"A Chemical Engineering alumna with a Ph.D. degree, graduated in 1998. Passionate about process engineering, chemical synthesis, nanotechnology. Skilled in Aspen Plus, MATLAB, chemical analysis, process simulation, lab safety. Eager to engage in innovative projects in chemical.","process engineering, chemical synthesis, nanotechnology",Ph.D.,True
